Category,Community,01/01/2012,02/01/2012,03/01/2012,04/01/2012,05/01/2012,06/01/2012,07/01/2012,08/01/2012,09/01/2012,10/01/2012,11/01/2012,12/01/2012,01/01/2013,02/01/2013,03/01/2013,04/01/2013,05/01/2013,06/01/2013,07/01/2013,08/01/2013,09/01/2013,10/01/2013,11/01/2013,12/01/2013,01/01/2014,02/01/2014,03/01/2014,04/01/2014,05/01/2014,06/01/2014,07/01/2014,08/01/2014,09/01/2014,10/01/2014,11/01/2014,12/01/2014,01/01/2015,02/01/2015,03/01/2015,04/01/2015,05/01/2015,06/01/2015,07/01/2015,08/01/2015,09/01/2015,10/01/2015,11/01/2015,12/01/2015,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,01/01/2017,02/01/2017,03/01/2017,04/01/2017,05/01/2017,06/01/2017,07/01/2017,08/01/2017,SEP,OCT,NOV,DEC
Assault (Non-domestic),BANFF TRAIL,2,,1,,1,1,,,2,,2,,,,1,,,,1,,,1,1,1,1,1,1,1,,3,2,1,,1,4,,1,2,1,1,,4,,,,1,1,1,1,1,4,,1,2,2,1,4,,,,2,4,3,4,,1,,1,,,,
Assault (Non-domestic),BANKVIEW,,1,2,1,1,4,3,1,1,2,1,,,,2,2,,2,1,4,,3,,2,,,,3,,1,1,1,2,1,1,2,1,,,,2,1,2,2,,,,2,,,1,1,,,1,1,2,,,,2,1,1,3,2,,,1,,,,
Assault (Non-domestic),BAYVIEW,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault (Non-domestic),BEDDINGTON HEIGHTS,2,1,2,,,1,2,,1,1,,6,1,2,,1,1,5,1,1,1,1,,2,2,1,,,1,1,3,2,1,1,2,2,1,1,1,,2,2,,3,1,3,1,1,,1,1,2,1,,2,,,,,,1,,1,3,1,1,,,,,,
Assault (Non-domestic),BELTLINE,6,16,17,19,11,9,26,11,20,20,13,21,6,21,11,15,16,17,29,17,16,22,16,15,29,16,18,13,15,16,18,17,17,16,11,22,9,17,21,25,17,16,35,16,23,18,15,21,14,19,12,17,21,26,21,17,23,,,,19,14,13,17,22,26,39,29,,,,
Assault (Non-domestic),BONAVISTA DOWNS,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault (Non-domestic),BOWNESS,3,2,6,6,5,7,6,5,3,5,2,4,6,7,7,5,5,2,2,3,3,3,6,4,4,4,4,9,7,11,3,1,4,5,4,3,4,8,2,6,8,,8,6,9,2,5,1,3,3,1,3,6,2,1,4,9,,,,8,2,3,10,11,6,12,4,,,,
Assault (Non-domestic),BRAESIDE,,,,,,,1,1,2,,2,,,1,1,,,2,,,1,,,,,,1,1,,1,,,,,,,,1,,,1,1,,,1,,3,1,2,1,,,1,1,1,1,1,,,,,,1,,1,,1,3,,,,
Assault (Non-domestic),BRENTWOOD,,,,,,,1,,1,,,1,1,,,1,,,1,3,1,,,1,1,1,1,,2,1,1,1,,,1,,,,2,3,,1,1,2,,,,1,1,1,2,2,4,1,1,2,2,,,,1,2,1,,1,1,2,,,,,
Assault (Non-domestic),BRIDGELAND/RIVERSIDE,4,2,2,,1,1,4,2,1,3,2,3,2,1,3,1,,5,3,1,,1,2,,1,1,1,,2,3,,2,2,1,2,3,,,2,2,1,,2,2,1,3,4,2,2,1,2,3,4,2,4,2,1,,,,2,1,4,2,1,3,3,4,,,,
Assault (Non-domestic),BRIDLEWOOD,1,,1,1,,,,,1,,,1,,,,,1,1,,5,2,,1,,1,,,,1,,,,,1,,,,1,,,,,,3,,1,3,1,,1,1,,1,,1,1,,,,,,1,,,2,,,1,,,,
Assault (Non-domestic),BRITANNIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Assault (Non-domestic),BURNS INDUSTRIAL,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,1,,,,,1,,,,1,,,,,,
Assault (Non-domestic),CALGARY INTERNATIONAL AIRPORT,,,1,,,,1,2,,,3,,,,,,3,1,,1,,,1,,,1,2,4,,1,3,1,,,,,3,,1,,,,,,,1,1,,2,2,1,,2,,1,1,1,,,,4,,2,1,2,2,2,,,,,
Assault (Non-domestic),CAMBRIAN HEIGHTS,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,1,2,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Assault (Non-domestic),CANADA OLYMPIC PARK,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Assault (Non-domestic),CANYON MEADOWS,,,1,2,,1,,1,2,,1,4,,1,3,,,1,,1,,,,6,1,1,,1,1,,1,2,,1,,,1,,,,,1,,,,,,,,,,,1,,1,,2,,,,1,,1,3,,1,3,2,,,,
Assault (Non-domestic),CAPITOL HILL,,1,2,2,1,,,1,,,1,,,2,,,2,,,1,1,,1,,1,1,1,2,4,1,2,,,1,1,,1,2,2,1,1,,,2,1,,1,,,1,,2,3,1,2,1,1,,,,,2,,,,2,1,,,,,
Assault (Non-domestic),CASTLERIDGE,2,2,,,,2,3,1,,,,6,,1,1,3,2,1,3,1,3,2,1,,1,,1,1,,2,,3,2,2,2,,1,,,2,3,2,3,1,,1,2,1,3,1,1,2,6,1,1,3,1,,,,,1,,1,1,1,4,,,,,
Assault (Non-domestic),CEDARBRAE,,2,,2,1,,1,1,,,,1,,1,,,1,1,,,2,,,,1,,1,,1,,,,1,,1,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,1,,,,
Assault (Non-domestic),CFB - CURRIE,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Assault (Non-domestic),CFB - LINCOLN PARK PMQ,,,,,,,,,1,,,,,1,,,,,,1,,,,,1,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,
Assault (Non-domestic),CHAPARRAL,,,,,2,1,,,1,,,,,,1,,,,1,,1,,,1,,2,,1,,1,1,1,,,1,1,,,2,,,,1,,,,,1,,,,,,,,,1,,,,,,1,,,,,2,,,,
Assault (Non-domestic),CHARLESWOOD,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,3,1,,,,,,,,,,1,,,,,,
Assault (Non-domestic),CHINATOWN,,,,,,1,1,,1,1,,,,,1,1,4,1,,3,,1,1,,,1,1,,1,1,2,1,1,1,,1,,2,,,,3,1,1,1,1,,3,,1,1,2,1,3,2,5,,,,,,2,,1,,4,1,,,,,
Assault (Non-domestic),CHINOOK PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,2,,,,
Assault (Non-domestic),CHRISTIE PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Assault (Non-domestic),CITADEL,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,2,,1,,1,1,,1,1,,,,,,,1,,,,,1,,,1,,,2,,,,
Assault (Non-domestic),CLIFF BUNGALOW,1,,,1,1,,2,2,1,3,,,3,,1,1,,,1,,,,,1,1,1,,,1,,1,2,,1,1,1,1,,,1,3,,1,1,3,,,,1,1,,,,1,3,3,2,,,,1,,1,,1,1,2,2,,,,
Assault (Non-domestic),COACH HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,
Assault (Non-domestic),COLLINGWOOD,,,,,,,,,,,1,,1,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,1,1,,,,,2,,,,,
Assault (Non-domestic),COPPERFIELD,1,,1,,,,1,1,,,1,,,,,,,2,,,,,,1,,,,,,,,,,1,,,,1,,,,,,1,,,,,,1,2,,1,1,,,,,,,,,1,,1,,1,,,,,
Assault (Non-domestic),CORAL SPRINGS,,,,1,,1,,,,,,,,,,,,,,3,1,,,,,,,,,,1,2,,,,,1,,,,,1,3,,,,,,,,,,,,2,,3,,,,1,,,,2,1,,1,,,,
Assault (Non-domestic),COUGAR RIDGE,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,1,1,,,,1,,,,,,2,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Assault (Non-domestic),COUNTRY HILLS,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,
Assault (Non-domestic),COUNTRY HILLS VILLAGE,1,,,,,,2,,,,,,1,1,1,1,1,,1,,1,,,,,,2,2,1,2,,2,1,1,1,,2,4,,,,,1,2,2,1,2,,,,1,4,2,,,2,1,,,,,4,,1,1,2,,1,,,,
Assault (Non-domestic),COVENTRY HILLS,,1,3,1,,1,1,1,,,,4,,,,1,,3,2,1,,,,2,,,,,,,1,1,,,1,,,2,,,1,1,,,,,1,1,2,,,,1,1,,,,,,,,1,1,,1,,1,4,,,,
Assault (Non-domestic),CRANSTON,3,,,,1,1,1,,1,,1,1,1,1,1,,,1,,,,,,1,,,,1,,,1,1,,1,2,,1,2,,,1,,,,,,,,1,,2,1,2,,,,,,,,1,,1,,1,1,,2,,,,
Assault (Non-domestic),CRESCENT HEIGHTS,,1,,,,2,,,2,1,,2,2,3,2,1,3,1,2,,2,1,1,,,1,,,2,2,2,2,2,2,4,1,1,,1,1,1,1,2,,1,2,5,3,3,2,1,1,2,1,1,2,3,,,,1,3,2,2,3,1,4,4,,,,
Assault (Non-domestic),DALHOUSIE,,1,,,2,3,2,,,,2,2,1,1,2,,,2,,,2,1,,4,1,2,,2,,1,,,1,,2,,2,,1,,2,,,,2,1,1,,1,1,2,,1,2,,1,,,,,2,1,,2,1,2,,2,,,,
Assault (Non-domestic),DEER RIDGE,,,2,1,,,1,,1,2,,2,4,,1,,,,,4,,2,,,,1,,,1,,2,3,,,,,,1,,1,,,,1,3,,1,,,1,,1,,,1,2,,,,,,1,,,1,1,1,,,,,
Assault (Non-domestic),DEER RUN,,,1,,,1,,,,1,,,,,,,,,,,,1,1,,,,,1,,,,2,,,1,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
Assault (Non-domestic),DEERFOOT BUSINESS CENTRE,1,1,,1,,1,,,5,,,,,,,,,,,,,,,,,,,,,,2,1,,,,2,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Assault (Non-domestic),DIAMOND COVE,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault (Non-domestic),DISCOVERY RIDGE,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,
Assault (Non-domestic),DOUGLASDALE/GLEN,,1,2,3,,1,2,,1,2,1,,,,,,3,1,1,,,3,,,,,,1,,,,,,,,,,1,1,,,,,1,2,,,,,1,,,,2,,,,,,,,1,,,,1,1,2,,,,
Assault (Non-domestic),DOVER,1,3,2,1,4,,3,6,2,2,3,1,5,1,3,4,,2,3,4,1,3,6,6,3,2,4,1,4,3,6,5,1,6,3,7,6,2,,4,7,3,3,3,6,,1,4,4,2,3,4,4,4,,2,6,,,,2,1,3,2,6,2,3,1,,,,
Assault (Non-domestic),DOWNTOWN COMMERCIAL CORE,11,18,8,11,12,17,17,20,6,17,12,8,8,13,18,22,13,13,24,20,24,25,13,14,25,9,15,16,14,18,20,28,20,19,15,18,16,16,17,16,12,20,21,12,17,18,14,17,21,24,16,17,17,20,21,15,10,,,,18,16,27,15,28,28,27,24,,,,
Assault (Non-domestic),DOWNTOWN EAST VILLAGE,1,3,5,3,1,2,6,2,7,3,2,2,5,6,6,5,3,3,1,,2,2,6,9,6,3,3,1,8,4,3,5,3,5,6,3,3,3,3,1,10,8,4,1,5,9,2,5,9,6,8,4,5,,5,4,3,,,,5,3,2,2,6,5,1,2,,,,
Assault (Non-domestic),DOWNTOWN WEST END,1,1,,,1,2,2,1,,1,,1,,,1,,1,,,1,2,4,1,,,,,1,1,,3,2,,,1,,,,1,1,1,2,,2,2,,1,1,1,2,,,3,2,3,3,3,,,,,1,,1,2,2,6,2,,,,
Assault (Non-domestic),EAGLE RIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,2,1,,2,,2,3,,,,
Assault (Non-domestic),EAST FAIRVIEW INDUSTRIAL,,,,1,,,,1,,,1,,,1,1,1,1,,,,,,,1,,1,,,,,,1,,,2,,,,1,,,,2,,,,,,1,,,2,1,,,,1,,,,1,,2,,,1,,,,,,
Assault (Non-domestic),EAST SHEPARD INDUSTRIAL,,,,,,,1,1,,,,,,,,,,1,1,,2,,,,,,,,,,2,,1,,,,1,,2,,,,,,,,1,,1,,,1,,,,,,,,,,,3,,,,1,,,,,
Assault (Non-domestic),EASTFIELD,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault (Non-domestic),EAU CLAIRE,,,,,,,,1,,,1,,1,,,,1,1,1,,,,3,,1,1,,1,,1,1,,1,,,1,2,,1,1,1,1,2,,1,,,,1,,1,1,,1,2,1,,,,,1,,,,3,,2,1,,,,
Assault (Non-domestic),EDGEMONT,,,,,,,1,1,,,1,4,1,1,1,,,,,2,,,,,,2,,1,,,3,,,,1,,,,,,1,3,,,1,1,1,,,2,1,,,2,1,1,2,,,,1,,,2,,,1,,,,,
Assault (Non-domestic),ELBOW PARK,,,,,,,1,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,
Assault (Non-domestic),ELBOYA,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,1,,,,,,,,,,1,,1,1,,,,,,,,,1,,2,,1,,,,,,,,,1,,1,,,,
Assault (Non-domestic),ERIN WOODS,1,,,3,1,,1,,1,2,,1,1,1,1,,,1,,1,1,1,,1,,1,1,,,2,1,3,,,1,1,,1,,1,1,1,,2,,3,,2,,1,1,2,,1,1,1,,,,,,,1,1,,1,1,,,,,
Assault (Non-domestic),ERLTON,,,,,,,2,1,,,1,,1,1,,,,,,,,2,,,,,,,,,,,1,,,,1,,,,,1,,,1,,,,1,1,,,,,1,,1,,,,,,,,,1,,,,,,
Assault (Non-domestic),EVANSTON,,,1,2,1,1,,,,,1,,,,1,,,,,,,,,,1,1,1,,,1,,1,,,1,,,,1,,,,1,,,1,,,1,,,,,1,2,,,,,,,1,1,,1,1,1,1,,,,
Assault (Non-domestic),EVERGREEN,1,,,,,,4,,,1,,1,,,,2,,,,,1,,,,1,,,,,1,2,,,,,1,,,,1,,1,1,1,1,,,,,1,,,,,3,1,,,,,,,2,,,,2,1,,,,
Assault (Non-domestic),FAIRVIEW,,1,2,,3,1,,,,,,1,2,,1,,,1,,,,,1,,,,,,,,,1,2,,,,,,,1,,,,1,,1,1,1,,1,,1,,,,,,,,,,1,2,,,,1,,,,,
Assault (Non-domestic),FAIRVIEW INDUSTRIAL,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,1,,1,,1,,,,1,,,,1,,,,1,1,,,,,,,1,,,1,,,,,,,
Assault (Non-domestic),FALCONRIDGE,3,2,3,3,3,3,3,4,1,5,4,2,4,1,6,1,4,2,3,5,,4,4,6,5,4,2,3,5,3,3,4,3,3,4,4,1,4,1,1,,4,2,8,3,5,4,4,3,4,7,7,3,3,4,1,3,,,,3,1,4,1,2,8,3,2,,,,
Assault (Non-domestic),FISH CREEK PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,1,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Assault (Non-domestic),FOOTHILLS,,1,1,,,1,2,1,,,4,,,2,,,1,1,1,,,1,,1,1,1,3,1,2,1,1,,,1,1,,,,,,1,,,,5,1,,,1,1,1,1,1,,1,1,1,,,,1,2,1,,,,,1,,,,
Assault (Non-domestic),FOREST HEIGHTS,4,5,1,4,3,3,,2,5,4,2,2,2,3,2,2,5,2,1,3,7,1,3,1,2,1,1,4,3,7,1,5,2,1,1,3,3,3,2,4,3,2,4,,,3,1,1,4,4,1,,1,2,3,1,2,,,,,1,1,2,1,3,3,1,,,,
Assault (Non-domestic),FOREST LAWN,6,8,7,8,9,6,10,4,13,12,6,4,4,5,3,5,10,8,11,4,5,6,5,3,6,1,11,4,5,7,7,8,8,8,7,5,1,7,7,6,6,11,7,9,8,5,3,5,9,3,7,10,7,8,3,10,3,,,,4,7,7,10,8,9,10,3,,,,
Assault (Non-domestic),FOREST LAWN INDUSTRIAL,2,3,6,2,4,1,6,,,,,,2,3,,,,2,,1,,,1,3,2,2,,2,3,,1,1,2,1,3,,2,2,1,,1,,3,2,,,1,2,1,1,,1,4,1,2,1,1,,,,1,,,2,,1,2,1,,,,
Assault (Non-domestic),FRANKLIN,,1,2,1,2,1,1,,,3,1,1,1,1,2,,2,5,2,1,2,2,,1,1,2,2,,2,,,2,1,,,1,2,4,1,,1,,2,2,2,1,,1,1,1,,1,1,3,1,3,1,,,,6,3,2,2,1,3,4,4,,,,
Assault (Non-domestic),GLAMORGAN,,,2,,,2,1,4,,,1,2,,1,1,1,,1,1,2,,2,1,,,,1,,,2,2,1,1,1,2,1,,,,1,,,1,2,1,,,,,1,1,1,1,,1,,1,,,,,1,,1,,3,,,,,,
Assault (Non-domestic),GLENBROOK,2,,2,2,1,1,,1,,2,2,1,,,,1,1,1,1,1,,2,1,1,1,,,1,2,3,2,,3,,,,3,2,,1,,2,1,,1,,1,1,,,1,,1,,,,,,,,,1,,,1,,1,,,,,
Assault (Non-domestic),GLENDALE,,,,,,1,,,1,,,,,1,1,,,1,1,,1,,1,,1,,2,,1,,,1,1,1,1,1,,,,1,1,1,1,3,,,,,,1,,,,,1,,,,,,,1,1,3,,1,,1,,,,
Assault (Non-domestic),GLENDEER BUSINESS PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Assault (Non-domestic),GLENMORE PARK,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,
Assault (Non-domestic),GOLDEN TRIANGLE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Assault (Non-domestic),GREAT PLAINS,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,2,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,
Assault (Non-domestic),GREENVIEW,,,,,,,2,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Assault (Non-domestic),GREENVIEW INDUSTRIAL PARK,,,,1,,,,,,,,,,1,,,,1,,,,,,1,1,1,,,,1,,,,,1,,,,,1,,,,,,,,1,,,,,,,1,,1,,,,2,,1,,,,,,,,,
Assault (Non-domestic),GREENWOOD/GREENBRIAR,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Assault (Non-domestic),HAMPTONS,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,1,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,
Assault (Non-domestic),HARVEST HILLS,,,,,,,1,1,1,,,,,,,,1,,,,,,2,,,,1,,2,1,,1,1,3,2,1,,,2,2,1,3,1,,2,1,1,1,,,1,,,,1,,,,,,,,,,1,,,3,,,,
Assault (Non-domestic),HAWKWOOD,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,1,,,,2,,,,,1,1,,,,,,2,,1,,,1,,,,
Assault (Non-domestic),HAYSBORO,1,,2,2,1,2,,3,3,3,,2,3,2,3,1,3,2,,1,3,2,1,1,2,3,3,1,2,1,2,2,2,2,2,1,3,3,3,3,1,,1,,,2,1,1,,,3,2,2,2,1,1,1,,,,,,2,1,4,2,1,3,,,,
Assault (Non-domestic),HIDDEN VALLEY,,,,2,,,,,1,,,,1,1,1,,,,2,,,,,,2,,,,,,,1,,,1,,,,1,,,,1,,1,,,1,1,,2,,,1,,1,1,,,,,,1,1,2,2,1,,,,,
Assault (Non-domestic),HIGHFIELD,1,1,,2,1,,,,,,,,1,1,1,,,,,1,,,1,2,1,,1,,,1,,,,,,1,,,,1,,,,,,,1,,,2,,,,,,1,1,,,,,,,,2,,,,,,,
Assault (Non-domestic),HIGHLAND PARK,,2,1,3,,3,1,,,2,,,,1,2,2,2,,3,2,,,2,1,1,1,1,4,1,1,,,1,2,,,1,1,2,1,,1,1,1,1,2,,,1,2,1,3,,1,1,,,,,,1,2,1,,,,,4,,,,
Assault (Non-domestic),HIGHWOOD,,2,,,,,,,,,1,1,,,,,2,,,,,,,1,,,,,,,,,,,2,1,,,,,4,1,,,,2,,,,,,,1,,,,,,,,,,1,,4,1,1,,,,,
Assault (Non-domestic),HILLHURST,1,,1,,,2,3,2,,2,1,2,2,1,3,2,1,1,3,5,1,,,,2,2,1,2,3,1,,4,2,,2,3,1,4,2,4,4,,2,1,1,,,5,3,4,4,1,3,4,1,1,3,,,,4,,1,,,4,3,3,,,,
Assault (Non-domestic),HORIZON,1,,3,1,2,,,,1,1,1,2,1,,1,,1,2,1,2,,,1,2,,,2,2,1,,,1,2,1,2,,,1,2,2,,,,,3,3,,1,1,2,1,,3,,,3,1,,,,2,2,2,,2,3,2,,,,,
Assault (Non-domestic),HOUNSFIELD HEIGHTS/BRIAR HILL,,,,1,1,1,1,1,1,,,1,1,,3,1,1,,,4,,1,1,3,1,,,2,,1,,1,3,2,,,1,1,,3,1,1,1,3,,2,1,,1,,,,,2,1,1,2,,,,1,2,,,2,2,2,2,,,,
Assault (Non-domestic),HUNTINGTON HILLS,2,2,2,1,,2,3,5,1,4,1,3,1,4,,3,2,,3,1,2,2,,5,,2,5,1,2,5,3,3,4,2,1,2,1,1,4,,4,1,2,7,1,2,,1,7,1,4,,,2,2,4,3,,,,2,1,4,1,,3,3,4,,,,
Assault (Non-domestic),INGLEWOOD,,,1,,2,2,1,1,,1,,,1,,,,,,1,,1,,1,,,,,,,2,1,,,1,1,,,2,1,,2,2,,2,,2,,,,,1,,1,,1,2,1,,,,,,1,3,1,2,1,1,,,,
Assault (Non-domestic),KELVIN GROVE,1,,1,1,,1,2,,,,1,,1,1,,,2,,1,1,1,,,3,,,,,1,2,1,,1,,1,2,1,,,,2,,1,,1,2,,,1,3,2,,2,1,2,,2,,,,,,,1,,,,1,,,,
Assault (Non-domestic),KILLARNEY/GLENGARRY,1,,1,2,,1,2,,,,1,,1,,2,1,,,,4,,1,1,1,2,,1,1,,2,1,,2,1,3,1,2,,1,1,1,,2,,1,1,1,5,1,,2,1,2,,2,1,2,,,,2,1,1,1,3,3,3,,,,,
Assault (Non-domestic),KINCORA,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,1,,,,,,,,,
